Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Cutoff_Date,Pairs_Before_Filter,Pairs_After_Filter,Weekly_Return_%
1,2024-01-01,2024-01-05,2023-01-16,2023-12-29,2023-12-29,0,0,0.0
2,2024-01-08,2024-01-12,2023-01-23,2024-01-05,2024-01-05,0,0,0.0
3,2024-01-15,2024-01-19,2023-01-30,2024-01-12,2024-01-12,1,0,0.0
4,2024-01-22,2024-01-26,2023-02-06,2024-01-19,2024-01-19,0,0,0.0
5,2024-01-29,2024-02-02,2023-02-13,2024-01-26,2024-01-26,0,0,0.0
6,2024-02-05,2024-02-09,2023-02-20,2024-02-02,2024-02-02,1,0,0.0
7,2024-02-12,2024-02-16,2023-02-27,2024-02-09,2024-02-09,0,0,0.0
8,2024-02-19,2024-02-23,2023-03-06,2024-02-16,2024-02-16,0,0,0.0
9,2024-02-26,2024-03-01,2023-03-13,2024-02-23,2024-02-23,0,0,0.0
10,2024-03-04,2024-03-08,2023-03-20,2024-03-01,2024-03-01,0,0,0.0
11,2024-03-11,2024-03-15,2023-03-27,2024-03-08,2024-03-08,0,0,0.0
12,2024-03-18,2024-03-22,2023-04-03,2024-03-15,2024-03-15,0,0,0.0
13,2024-03-25,2024-03-29,2023-04-10,2024-03-22,2024-03-22,0,0,0.0
14,2024-04-01,2024-04-05,2023-04-17,2024-03-29,2024-03-29,0,0,0.0
15,2024-04-08,2024-04-12,2023-04-24,2024-04-05,2024-04-05,0,0,0.0
16,2024-04-15,2024-04-19,2023-05-01,2024-04-12,2024-04-12,0,0,0.0
17,2024-04-22,2024-04-26,2023-05-08,2024-04-19,2024-04-19,0,0,0.0
18,2024-04-29,2024-05-03,2023-05-15,2024-04-26,2024-04-26,0,0,0.0
19,2024-05-06,2024-05-10,2023-05-22,2024-05-03,2024-05-03,0,0,0.0
20,2024-05-13,2024-05-17,2023-05-29,2024-05-10,2024-05-10,0,0,0.0
21,2024-05-20,2024-05-24,2023-06-05,2024-05-17,2024-05-17,0,0,0.0
22,2024-05-27,2024-05-31,2023-06-12,2024-05-24,2024-05-24,0,0,0.0
23,2024-06-03,2024-06-07,2023-06-19,2024-05-31,2024-05-31,0,0,0.0
24,2024-06-10,2024-06-14,2023-06-26,2024-06-07,2024-06-07,0,0,0.0
25,2024-06-17,2024-06-21,2023-07-03,2024-06-14,2024-06-14,0,0,0.0
26,2024-06-24,2024-06-28,2023-07-10,2024-06-21,2024-06-21,0,0,0.0
27,2024-07-01,2024-07-05,2023-07-17,2024-06-28,2024-06-28,0,0,0.0
28,2024-07-08,2024-07-12,2023-07-24,2024-07-05,2024-07-05,0,0,0.0
29,2024-07-15,2024-07-19,2023-07-31,2024-07-12,2024-07-12,0,0,0.0
30,2024-07-22,2024-07-26,2023-08-07,2024-07-19,2024-07-19,0,0,0.0
31,2024-07-29,2024-08-02,2023-08-14,2024-07-26,2024-07-26,0,0,0.0
32,2024-08-05,2024-08-09,2023-08-21,2024-08-02,2024-08-02,0,0,0.0
33,2024-08-12,2024-08-16,2023-08-28,2024-08-09,2024-08-09,0,0,0.0
34,2024-08-19,2024-08-23,2023-09-04,2024-08-16,2024-08-16,0,0,0.0
35,2024-08-26,2024-08-30,2023-09-11,2024-08-23,2024-08-23,0,0,0.0
36,2024-09-02,2024-09-06,2023-09-18,2024-08-30,2024-08-30,0,0,0.0
37,2024-09-09,2024-09-13,2023-09-25,2024-09-06,2024-09-06,0,0,0.0
38,2024-09-16,2024-09-20,2023-10-02,2024-09-13,2024-09-13,0,0,0.0
39,2024-09-23,2024-09-27,2023-10-09,2024-09-20,2024-09-20,3,0,0.0
40,2024-09-30,2024-10-04,2023-10-16,2024-09-27,2024-09-27,0,0,0.0
41,2024-10-07,2024-10-11,2023-10-23,2024-10-04,2024-10-04,3,0,0.0
42,2024-10-14,2024-10-18,2023-10-30,2024-10-11,2024-10-11,4,0,0.0
43,2024-10-21,2024-10-25,2023-11-06,2024-10-18,2024-10-18,1,0,0.0
44,2024-10-28,2024-11-01,2023-11-13,2024-10-25,2024-10-25,2,0,0.0
45,2024-11-04,2024-11-08,2023-11-20,2024-11-01,2024-11-01,6,0,0.0
46,2024-11-11,2024-11-15,2023-11-27,2024-11-08,2024-11-08,2,1,4.521077084131342
47,2024-11-18,2024-11-22,2023-12-04,2024-11-15,2024-11-15,4,1,6.058904378045327
48,2024-11-25,2024-11-29,2023-12-11,2024-11-22,2024-11-22,2,0,0.0
49,2024-12-02,2024-12-06,2023-12-18,2024-11-29,2024-11-29,1,0,0.0
50,2024-12-09,2024-12-13,2023-12-25,2024-12-06,2024-12-06,1,0,0.0
51,2024-12-16,2024-12-20,2024-01-01,2024-12-13,2024-12-13,5,1,5.475122077472516
52,2024-12-23,2024-12-27,2024-01-08,2024-12-20,2024-12-20,1,0,0.0
53,2024-12-30,2025-01-03,2024-01-15,2024-12-27,2024-12-27,6,1,3.6115017151401085
