Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Cutoff_Date,Pairs_Before_Filter,Pairs_After_Filter,Weekly_Return_%
1,2025-01-06,2025-01-10,2024-01-22,2025-01-03,2025-01-03,4,2,2.46663304855943
2,2025-01-13,2025-01-17,2024-01-29,2025-01-10,2025-01-10,3,0,0.0
3,2025-01-20,2025-01-24,2024-02-05,2025-01-17,2025-01-17,5,3,1.3026222280993816
4,2025-01-27,2025-01-31,2024-02-12,2025-01-24,2025-01-24,6,0,0.0
5,2025-02-03,2025-02-07,2024-02-19,2025-01-31,2025-01-31,5,1,5.224622872055096
6,2025-02-10,2025-02-17,2024-02-26,2025-02-07,2025-02-07,9,0,0.0
7,2025-02-17,2025-02-21,2024-03-01,2025-02-13,2025-02-13,3,0,0.0
8,2025-02-24,2025-02-28,2024-03-08,2025-02-21,2025-02-21,5,0,0.0
9,2025-03-03,2025-03-07,2024-03-15,2025-02-28,2025-02-28,2,1,-0.06244653641579445
10,2025-03-10,2025-03-14,2024-03-22,2025-03-07,2025-03-07,1,0,0.0
11,2025-03-17,2025-03-21,2024-03-29,2025-03-14,2025-03-14,4,0,0.0
12,2025-03-24,2025-03-28,2024-04-05,2025-03-21,2025-03-21,6,0,0.0
13,2025-03-31,2025-04-04,2024-04-12,2025-03-28,2025-03-28,5,0,0.0
14,2025-04-07,2025-04-11,2024-04-19,2025-04-04,2025-04-04,4,0,0.0
15,2025-04-14,2025-04-18,2024-04-26,2025-04-11,2025-04-11,2,0,0.0
16,2025-04-21,2025-04-25,2024-05-03,2025-04-18,2025-04-18,5,0,0.0
17,2025-04-28,2025-05-02,2024-05-10,2025-04-25,2025-04-25,5,0,0.0
18,2025-05-05,2025-05-09,2024-05-17,2025-05-02,2025-05-02,11,0,0.0
19,2025-05-12,2025-05-16,2024-05-24,2025-05-09,2025-05-09,6,4,-0.39929238548768176
20,2025-05-19,2025-05-23,2024-05-31,2025-05-16,2025-05-16,5,0,0.0
21,2025-05-26,2025-05-30,2024-06-07,2025-05-23,2025-05-23,4,0,0.0
22,2025-06-02,2025-06-06,2024-06-14,2025-05-30,2025-05-30,4,0,0.0
23,2025-06-09,2025-06-13,2024-06-21,2025-06-06,2025-06-06,4,0,0.0
24,2025-06-16,2025-06-20,2024-06-28,2025-06-13,2025-06-13,10,1,-2.618299757974063
25,2025-06-23,2025-06-27,2024-07-05,2025-06-20,2025-06-20,8,0,0.0
26,2025-06-30,2025-07-04,2024-07-12,2025-06-27,2025-06-27,9,0,0.0
27,2025-07-07,2025-07-11,2024-07-19,2025-07-04,2025-07-04,6,0,0.0
28,2025-07-14,2025-07-18,2024-07-26,2025-07-11,2025-07-11,7,0,0.0
29,2025-07-21,2025-07-25,2024-08-02,2025-07-18,2025-07-18,5,2,2.541891844692712
30,2025-07-28,2025-08-01,2024-08-09,2025-07-25,2025-07-25,5,0,0.0
31,2025-08-04,2025-08-08,2024-08-16,2025-08-01,2025-08-01,6,0,0.0
32,2025-08-11,2025-08-15,2024-08-23,2025-08-08,2025-08-08,8,2,-1.4410905476671565
33,2025-08-18,2025-08-22,2024-08-30,2025-08-15,2025-08-15,5,0,0.0
34,2025-08-25,2025-08-29,2024-09-06,2025-08-22,2025-08-22,5,2,-1.2024733760994333
35,2025-09-01,2025-09-05,2024-09-13,2025-08-29,2025-08-29,0,0,0.0
36,2025-09-08,2025-09-12,2024-09-20,2025-09-05,2025-09-05,3,0,0.0
37,2025-09-15,2025-09-19,2024-09-27,2025-09-12,2025-09-12,1,0,0.0
38,2025-09-22,2025-09-26,2024-10-04,2025-09-19,2025-09-19,6,0,0.0
39,2025-09-29,2025-10-03,2024-10-11,2025-09-26,2025-09-26,3,0,0.0
40,2025-10-06,2025-10-10,2024-10-18,2025-10-03,2025-10-03,7,1,-0.7187413079702498
41,2025-10-13,2025-10-17,2024-10-25,2025-10-10,2025-10-10,3,2,-3.9496242530091985
42,2025-10-20,2025-10-24,2024-11-01,2025-10-17,2025-10-17,5,0,0.0
43,2025-10-27,2025-10-31,2024-11-08,2025-10-24,2025-10-24,7,2,6.582798628509701
44,2025-11-03,2025-11-07,2024-11-15,2025-10-31,2025-10-31,3,2,10.752727096421054
45,2025-11-10,2025-11-14,2024-11-22,2025-11-07,2025-11-07,4,1,-2.484245262570872
46,2025-11-17,2025-11-21,2024-11-29,2025-11-14,2025-11-14,5,1,9.67967370528633
47,2025-11-24,2025-11-28,2024-12-06,2025-11-21,2025-11-21,3,0,0.0
48,2025-12-01,2025-12-05,2024-12-13,2025-11-28,2025-11-28,5,0,0.0
49,2025-12-08,2025-12-12,2024-12-20,2025-12-05,2025-12-05,4,0,0.0
50,2025-12-15,2025-12-19,2024-12-27,2025-12-12,2025-12-12,2,0,0.0
51,2025-12-22,2025-12-26,2025-01-03,2025-12-19,2025-12-19,4,0,0.0
52,2025-12-29,2025-12-31,2025-01-10,2025-12-26,2025-12-26,2,0,0.0
