Date,Daily_Return_%,Cumulative_Return_%
2021-01-05,-2.29188584228065,-2.29188584228065
2021-01-06,-4.405977016343465,-6.596882895172396
2021-01-07,-0.4241675624893859,-6.993068620285047
2021-01-08,3.068224382692619,-4.139407274098428
2021-01-12,0.0,-4.139407274098428
2021-01-13,0.0,-4.139407274098428
2021-01-14,0.0,-4.139407274098428
2021-01-15,0.0,-4.139407274098428
2021-01-19,0.0,-4.139407274098428
2021-01-20,0.0,-4.139407274098428
2021-01-21,0.0,-4.139407274098428
2021-01-22,0.0,-4.139407274098428
2021-01-26,0.0,-4.139407274098428
2021-01-27,0.0,-4.139407274098428
2021-01-28,0.0,-4.139407274098428
2021-01-29,0.0,-4.139407274098428
2021-02-02,0.0,-4.139407274098428
2021-02-03,0.0,-4.139407274098428
2021-02-04,0.0,-4.139407274098428
2021-02-05,0.0,-4.139407274098428
2021-02-09,0.0,-4.139407274098428
2021-02-10,0.0,-4.139407274098428
2021-02-11,0.0,-4.139407274098428
2021-02-12,0.0,-4.139407274098428
2021-02-16,0.0,-4.139407274098428
2021-02-17,0.0,-4.139407274098428
2021-02-18,0.0,-4.139407274098428
2021-02-19,0.0,-4.139407274098428
2021-02-23,-0.8653426891856384,-4.968929905062036
2021-02-24,8.614525405406425,3.217545771295982
2021-02-25,-3.046140355974114,0.07339445511047593
2021-02-26,0.8386753118694248,0.9126853081552033
2021-03-02,-0.5247666476723658,0.3831291923874325
2021-03-03,0.16008068004080359,0.5438231882448408
2021-03-04,-0.8409112479754035,-0.30166113008961437
2021-03-05,-1.2095774234192596,-1.50758972858408
2021-03-09,2.4385858015494777,0.8942322038985262
2021-03-10,0.48339629302270193,1.3819511822458885
2021-03-11,-2.115662810841716,-0.7629490558225815
2021-03-12,-0.8530290829960464,-1.6094699614840224
2021-03-16,2.5360404950315503,0.8857537235689383
2021-03-17,0.9462166720738877,1.8403515450487573
2021-03-18,-1.358324005046252,0.4570296031888743
2021-03-19,-0.9743479046059104,-0.5217713597791329
2021-03-23,0.906781185258051,0.38027850095836424
2021-03-24,-1.0213623119598831,-0.6449678322907992
2021-03-25,1.340000867457644,0.686390460619335
2021-03-26,-0.6446579663623576,0.03730762347224914
