Date,Daily_Return_%,Cumulative_Return_%
2021-09-17,1.1343563789323055,21.79040040316331
2021-09-21,-1.1797666252903125,20.353557906399345
2021-09-22,1.4233384404579663,22.066596360539958
2021-09-23,0.7212609951252058,22.94701510816548
2021-09-24,-0.8531274997130021,21.89812031220142
2021-09-28,0.0,21.89812031220142
2021-09-29,0.0,21.89812031220142
2021-09-30,0.0,21.89812031220142
2021-10-01,0.0,21.89812031220142
2021-10-05,0.03619050085532111,21.942235852475633
2021-10-06,3.077661011837096,25.695204502269696
2021-10-07,-0.3930442821966862,25.201166687978095
2021-10-08,-0.4328072738257775,24.65928693163779
2021-10-12,0.0,24.65928693163779
2021-10-13,0.0,24.65928693163779
2021-10-14,0.0,24.65928693163779
2021-10-15,0.0,24.65928693163779
2021-10-19,3.155346184638593,28.592718985632914
2021-10-20,-0.7632902806543607,27.611183259986394
2021-10-21,-2.866234976976954,23.953546890854494
2021-10-22,-0.2555042757313791,23.63684027862767
2021-10-26,-0.8578562081073616,22.57621396878968
2021-10-27,3.245900865529927,26.554916358936453
2021-10-28,0.3919111694383526,27.050899211620493
2021-10-29,-1.122878823783818,25.624271568946288
2021-11-02,0.0,25.624271568946288
2021-11-03,0.0,25.624271568946288
2021-11-04,0.0,25.624271568946288
2021-11-05,0.0,25.624271568946288
2021-11-09,3.194747491990374,29.637649834226387
2021-11-10,0.7385693853240255,30.595113827755526
2021-11-11,-0.29764360773927856,30.206405819427395
2021-11-12,0.19289589157519843,30.45756862682081
2021-11-16,0.0,30.45756862682081
2021-11-17,0.0,30.45756862682081
2021-11-18,0.0,30.45756862682081
2021-11-19,0.0,30.45756862682081
2021-11-23,0.0,30.45756862682081
2021-11-24,0.0,30.45756862682081
2021-11-25,0.0,30.45756862682081
2021-11-26,0.0,30.45756862682081
2021-11-30,1.9246612912167893,32.96843495164381
2021-12-01,-1.812395195405786,30.558521425173947
2021-12-02,2.021573348929437,33.197857699061586
2021-12-03,5.742280327842178,40.846452078822026
2021-12-07,8.681779346963154,53.07443026633154
2021-12-08,-0.771328748584521,51.893723178955355
2021-12-09,-0.9262080276897455,50.48687132131502
2021-12-10,-2.816236408014805,46.248805261881756
2021-12-14,2.4688681892687803,49.859495492178006
2021-12-15,-1.0470238802158305,48.29043078760395
2021-12-16,1.0222476824871207,49.80632627968043
2021-12-17,-1.855898412657675,47.02607304819506
2021-12-21,0.0,47.02607304819506
2021-12-22,0.0,47.02607304819506
2021-12-23,0.0,47.02607304819506
2021-12-24,0.0,47.02607304819506
2021-12-28,1.612898959216099,49.3974550501657
2021-12-29,-4.112346902205094,43.25371343543696
2021-12-30,-3.4227621055421023,38.35047961718696
2021-12-31,-4.414853173585465,32.24250907713686
2022-01-04,-2.2446293708391685,29.274154877656787
2022-01-05,1.349696737931494,31.01896392902901
2022-01-06,-0.8004905396265555,29.970169517660405
2022-01-07,0.0886045386274294,30.08532898671481
2022-01-11,4.3018171019977345,35.68136191625533
2022-01-12,3.405551651922767,40.302060778345684
2022-01-13,1.2286424588883627,42.0258714677638
2022-01-14,-2.8569928672777634,37.96820245024071
2022-01-18,1.8397752866964323,40.50650734241954
2022-01-19,-0.9785054417991601,39.13164352199203
2022-01-20,0.3264150476390171,39.5857901424753
2022-01-21,-2.218455281530507,36.489141808793455
2022-01-25,0.0,36.489141808793455
2022-01-26,0.0,36.489141808793455
2022-01-27,0.0,36.489141808793455
2022-01-28,0.0,36.489141808793455
2022-02-01,0.9340338296719544,37.76399656711653
2022-02-02,-2.0014088778767256,35.006775709304485
2022-02-03,5.651760536095618,42.637035379898066
2022-02-04,-3.387336695492904,37.805438739111594
2022-02-08,1.9770657744725029,40.529942903784246
2022-02-09,-2.761197884590838,36.64963309310825
2022-02-10,0.3666811783277657,37.150701577914624
2022-02-11,-0.9902504292361556,35.792566166838924
2022-02-15,-0.4185786471317841,35.22416748047223
2022-02-16,0.9274024671899195,36.47823974592317
2022-02-17,0.692171229696148,37.42290285624019
2022-02-18,0.14432946677782627,37.621244599163205
2022-02-22,0.7257788073611329,38.62007042689055
