pair_hxy_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.35,5,0.1,-0.07781411961398874,1.2897467898596806,1.019946,-0.9578,-1.2111,65.84,-0.2969,0.7291,218.26353566272667,299.34584830050295,40
0.35,5,0.11,-0.0855199829332296,1.4115508590297274,1.129196,-0.9618,-1.2023,68.04,-0.3151,0.6993,207.20313875024635,296.31496096667155,41
0.35,5,0.12,-0.07938469277589304,1.4747204285515292,1.195473,-0.8545,-1.0541,66.87,-0.3054,0.7117,204.22424191893268,286.94309179141317,42
0.35,5,0.13,-0.1010589563209008,1.3835274804040085,1.174354,-1.1595,-1.3661,73.24,-0.3334,0.5918,152.66090956285962,257.9643420492382,43
0.35,5,0.14,-0.09154166468680593,1.3434958408721307,1.140204,-1.0816,-1.2745,69.89,-0.3215,0.5952,140.26126452422082,235.64767912787264,44
0.35,5,0.15,-0.06066106392679579,1.225060738379464,1.010095,-0.7861,-0.9533,57.76,-0.2745,0.6601,122.75124382157834,185.96007243329953,45
0.35,6,0.01,-0.10643805855206319,1.1161241605313676,0.84182,-1.5139,-2.0071,70.27,-0.3519,0.7071,267.7286726150022,378.6371296262521,46
0.35,6,0.02,-0.09528435550225885,1.133615656069393,0.838597,-1.3343,-1.8037,66.95,-0.3378,0.7391,281.2189640708307,380.5052625041845,47
0.35,6,0.03,-0.09377507811073915,1.15670174583906,0.86804,-1.287,-1.7149,66.69,-0.3356,0.7387,276.3041536219247,374.0177850133149,48
0.35,6,0.04,-0.10857614766565019,1.2696914651189568,1.036681,-1.3575,-1.6626,72.23,-0.3531,0.7066,272.4528240462424,385.5891699138499,49
0.35,6,0.05,-0.11103014446620316,1.2414591112145483,1.043435,-1.4197,-1.6892,72.45,-0.3576,0.6848,251.3428389527204,367.03624948650406,50
0.35,6,0.06,-0.11287299308021317,1.2777312805753915,1.07723,-1.4023,-1.6633,72.87,-0.3614,0.6801,250.01434904328698,367.6280078328691,51
0.35,6,0.07,-0.0771054123613239,1.1787666410785507,0.945506,-1.0384,-1.2946,60.22,-0.3174,0.7592,253.3379411048959,333.6817807853954,52
0.35,6,0.08,-0.09305335215012124,1.1885972387970711,0.972518,-1.2428,-1.5189,65.98,-0.3385,0.7111,238.64934957578038,335.6109425162067,53
0.35,6,0.09,-0.08546914288903962,1.1624001045586525,0.941396,-1.1672,-1.4412,63.66,-0.3262,0.7141,222.46032268342861,311.5191695738079,54
0.35,6,0.1,-0.09538664256971943,1.1908199939703092,0.982468,-1.2716,-1.5412,67.82,-0.3361,0.6801,211.3060521834468,310.69893374109444,55
0.35,6,0.11,-0.06811773355201224,1.2082120723421004,0.966081,-0.895,-1.1193,61.65,-0.2812,0.7463,208.8435942641312,279.8222726253279,56
0.35,6,0.12,-0.10089241498529189,1.4124152796777054,1.208863,-1.134,-1.3249,72.89,-0.3357,0.6532,198.02297711898657,303.1528735336607,57
0.35,6,0.13,-0.1009967496148776,1.3542610237823505,1.182911,-1.1839,-1.3554,72.67,-0.3349,0.6259,176.0721385437071,281.3107516424095,58
0.35,6,0.14,-0.09629824718513966,1.3320367449081212,1.164515,-1.1476,-1.3127,72.43,-0.3228,0.6194,163.29516869565572,263.63794226257124,59
0.35,6,0.15,-0.08817732257152305,1.3763304991515135,1.162259,-1.017,-1.2044,70.7,-0.3098,0.6313,157.32554240739017,249.20631252691717,60
0.35,7,0.01,-0.1412252143853652,1.3257625535795907,1.095838,-1.691,-2.0458,79.24,-0.3984,0.6422,264.0748301249502,411.23150351450073,61
0.35,7,0.02,-0.10496137519752516,1.0975492643648397,0.821505,-1.5181,-2.0282,69.21,-0.3527,0.7036,259.66698131155044,369.0367342673716,62
0.35,7,0.03,-0.11549394609572182,1.1499570300295616,0.878178,-1.5943,-2.0877,72.61,-0.365,0.6858,262.69055909756685,383.035250929309,63
0.35,7,0.04,-0.11380812692915587,1.1915415338934068,0.975947,-1.5162,-1.8512,72.42,-0.3631,0.6879,261.38387683879733,379.9719450989778,64
0.35,7,0.05,-0.10839788781513231,1.232398430753655,1.014528,-1.3963,-1.6961,72.32,-0.351,0.7031,267.52454080063177,380.4751399039996,65
0.35,7,0.06,-0.11766659545192217,1.2594795826425622,1.045709,-1.4831,-1.7863,73.46,-0.3699,0.684,265.3995062270157,388.0080986879186,66
0.35,7,0.07,-0.14951404661787113,1.3204061341976412,1.132249,-1.7975,-2.0962,81.26,-0.4054,0.615,248.84807729122204,404.6417138670438,67
0.35,7,0.08,-0.11472235371092891,1.2537343334983215,1.039101,-1.4526,-1.7526,73.59,-0.3617,0.6774,250.9762576661041,370.51695023289204,68
0.35,7,0.09,-0.10892012197200299,1.2706790194802602,1.061193,-1.3607,-1.6293,73.13,-0.3498,0.6754,236.18715666106027,349.68192375588734,69
0.35,7,0.1,-0.11669323432969435,1.3124312022669136,1.110551,-1.4115,-1.668,75.99,-0.357,0.6564,232.33970949620263,353.9340596677442,70
0.35,7,0.11,-0.0998635127122347,1.231394875059139,1.049432,-1.2874,-1.5106,72.12,-0.3296,0.6488,192.2004553000112,296.2582355461598,71
0.35,7,0.12,-0.08981514878315107,1.3096105381128424,1.130777,-1.0887,-1.2609,69.83,-0.3155,0.6646,185.43040404536842,279.01778907741186,72
0.35,7,0.13,-0.07814903593596537,1.272739548639674,1.092082,-0.9747,-1.136,66.93,-0.2929,0.6794,172.59664702699982,254.02794247227573,73
0.35,7,0.14,-0.07722286875493424,1.2491488969776519,1.07382,-0.9814,-1.1416,66.53,-0.2909,0.6711,164.1994335502162,244.66566279285766,74
0.35,7,0.15,-0.08562012883950905,1.401809298668024,1.181185,-0.9696,-1.1507,70.34,-0.3052,0.6472,163.67704765046906,252.8932219012374,75
0.35,8,0.01,-0.10442600844895537,1.357507678345505,1.064469,-1.2211,-1.5573,70.33,-0.3552,0.7297,293.81379001401575,402.6256908178272,76
0.35,8,0.02,-0.08977595934600467,1.371941433931364,1.063183,-1.0388,-1.3405,65.85,-0.337,0.7619,299.3281974714475,392.8747471099843,77
0.35,8,0.03,-0.10916881725354802,1.3603903725487616,1.074677,-1.2739,-1.6126,71.6,-0.3615,0.7109,279.66970458149757,393.4236121596946,78
0.35,8,0.04,-0.11567536788514361,1.2794398547243033,1.060419,-1.4352,-1.7317,73.18,-0.3676,0.6842,261.1058988533263,381.63963218964597,79
0.35,8,0.05,-0.137297126459161,1.334028381896824,1.150802,-1.6338,-1.8939,78.67,-0.393,0.6347,248.6204992190325,391.6841049894782,80
0.35,8,0.06,-0.13826112796693388,1.2117641615530987,1.028226,-1.8113,-2.1346,78.46,-0.3921,0.6201,235.13144415297242,379.1995394945175,81
