Week_Number,Week_Start,Week_End,Lookback_Start,Lookback_End,Cutoff_Date,Pairs_Before_Filter,Pairs_After_Filter,Weekly_Return_%
1,2023-01-02,2023-01-06,2022-01-17,2022-12-30,2022-12-30,1,0,0.0
2,2023-01-09,2023-01-13,2022-01-24,2023-01-06,2023-01-06,2,1,1.9173221360724968
3,2023-01-16,2023-01-20,2022-01-31,2023-01-13,2023-01-13,2,0,0.0
4,2023-01-23,2023-01-27,2022-02-07,2023-01-20,2023-01-20,1,0,0.0
5,2023-01-30,2023-02-03,2022-02-14,2023-01-27,2023-01-27,4,0,0.0
6,2023-02-06,2023-02-10,2022-02-21,2023-02-03,2023-02-03,4,0,0.0
7,2023-02-13,2023-02-17,2022-02-28,2023-02-10,2023-02-10,2,0,0.0
8,2023-02-20,2023-02-24,2022-03-07,2023-02-17,2023-02-17,2,0,0.0
9,2023-02-27,2023-03-03,2022-03-14,2023-02-24,2023-02-24,0,0,0.0
10,2023-03-06,2023-03-10,2022-03-21,2023-03-03,2023-03-03,0,0,0.0
11,2023-03-13,2023-03-17,2022-03-28,2023-03-10,2023-03-10,0,0,0.0
12,2023-03-20,2023-03-24,2022-04-04,2023-03-17,2023-03-17,1,0,0.0
13,2023-03-27,2023-03-31,2022-04-11,2023-03-24,2023-03-24,1,0,0.0
14,2023-04-03,2023-04-07,2022-04-18,2023-03-31,2023-03-31,1,0,0.0
15,2023-04-10,2023-04-14,2022-04-25,2023-04-07,2023-04-07,1,0,0.0
16,2023-04-17,2023-04-21,2022-05-02,2023-04-14,2023-04-14,0,0,0.0
17,2023-04-24,2023-04-28,2022-05-09,2023-04-21,2023-04-21,3,1,0.39688939699362713
18,2023-05-01,2023-05-05,2022-05-16,2023-04-28,2023-04-28,0,0,0.0
19,2023-05-08,2023-05-12,2022-05-23,2023-05-05,2023-05-05,1,0,0.0
20,2023-05-15,2023-05-19,2022-05-30,2023-05-12,2023-05-12,1,0,0.0
21,2023-05-22,2023-05-26,2022-06-06,2023-05-19,2023-05-19,0,0,0.0
22,2023-05-29,2023-06-02,2022-06-13,2023-05-26,2023-05-26,1,0,0.0
23,2023-06-05,2023-06-09,2022-06-20,2023-06-02,2023-06-02,1,0,0.0
24,2023-06-12,2023-06-16,2022-06-27,2023-06-09,2023-06-09,1,0,0.0
25,2023-06-19,2023-06-23,2022-07-04,2023-06-16,2023-06-16,1,0,0.0
26,2023-06-26,2023-06-30,2022-07-11,2023-06-23,2023-06-23,0,0,0.0
27,2023-07-03,2023-07-07,2022-07-18,2023-06-30,2023-06-30,0,0,0.0
28,2023-07-10,2023-07-14,2022-07-25,2023-07-07,2023-07-07,0,0,0.0
29,2023-07-17,2023-07-21,2022-08-01,2023-07-14,2023-07-14,0,0,0.0
30,2023-07-24,2023-07-28,2022-08-08,2023-07-21,2023-07-21,0,0,0.0
31,2023-07-31,2023-08-04,2022-08-15,2023-07-28,2023-07-28,0,0,0.0
32,2023-08-07,2023-08-11,2022-08-22,2023-08-04,2023-08-04,0,0,0.0
33,2023-08-14,2023-08-18,2022-08-29,2023-08-11,2023-08-11,1,0,0.0
34,2023-08-21,2023-08-25,2022-09-05,2023-08-18,2023-08-18,0,0,0.0
35,2023-08-28,2023-09-01,2022-09-12,2023-08-25,2023-08-25,0,0,0.0
36,2023-09-04,2023-09-08,2022-09-19,2023-09-01,2023-09-01,0,0,0.0
37,2023-09-11,2023-09-15,2022-09-26,2023-09-08,2023-09-08,1,0,0.0
38,2023-09-18,2023-09-22,2022-10-03,2023-09-15,2023-09-15,0,0,0.0
39,2023-09-25,2023-09-29,2022-10-10,2023-09-22,2023-09-22,0,0,0.0
40,2023-10-02,2023-10-06,2022-10-17,2023-09-29,2023-09-29,0,0,0.0
41,2023-10-09,2023-10-13,2022-10-24,2023-10-06,2023-10-06,0,0,0.0
42,2023-10-16,2023-10-20,2022-10-31,2023-10-13,2023-10-13,0,0,0.0
43,2023-10-23,2023-10-27,2022-11-07,2023-10-20,2023-10-20,0,0,0.0
44,2023-10-30,2023-11-03,2022-11-14,2023-10-27,2023-10-27,0,0,0.0
45,2023-11-06,2023-11-10,2022-11-21,2023-11-03,2023-11-03,0,0,0.0
46,2023-11-13,2023-11-17,2022-11-28,2023-11-10,2023-11-10,1,0,0.0
47,2023-11-20,2023-11-24,2022-12-05,2023-11-17,2023-11-17,0,0,0.0
48,2023-11-27,2023-12-01,2022-12-12,2023-11-24,2023-11-24,0,0,0.0
49,2023-12-04,2023-12-08,2022-12-19,2023-12-01,2023-12-01,1,0,0.0
50,2023-12-11,2023-12-15,2022-12-26,2023-12-08,2023-12-08,0,0,0.0
51,2023-12-18,2023-12-22,2023-01-02,2023-12-15,2023-12-15,1,0,0.0
52,2023-12-25,2023-12-29,2023-01-09,2023-12-22,2023-12-22,0,0,0.0
