pval_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.01,9,0.08,-0.0657641685970506,1.5719524179873472,1.145285,-0.6641,-0.9115,68.05,-0.2626,0.8583,415.0660891654251,483.59235284355185,98
0.01,9,0.09,-0.05940666466390081,1.6257662266781805,1.191932,-0.5801,-0.7912,69.55,-0.2405,0.8722,422.3409320085335,484.2426765883182,99
0.01,9,0.1,-0.05878422698883604,1.4831931530209341,1.09167,-0.6292,-0.8548,58.09,-0.2777,0.8589,372.73303477466897,433.9861992970361,100
0.01,9,0.11,-0.0570335153117434,1.4977822235654423,1.118365,-0.6045,-0.8096,60.24,-0.2625,0.8574,357.32501845547176,416.7539414103084,101
0.01,9,0.12,-0.055542469824521004,1.4649712472047236,1.088041,-0.6019,-0.8104,58.97,-0.261,0.8538,337.99311605349095,395.8683696106418,102
0.01,9,0.13,-0.053477440711802625,1.485721807492112,1.123259,-0.5714,-0.7558,62.61,-0.24,0.8546,327.5393447226125,383.26283794431083,103
0.01,9,0.14,-0.04747592834763895,1.5029705647004385,1.134007,-0.5014,-0.6646,63.86,-0.2158,0.864,314.14647456132167,363.61639189956145,104
0.01,9,0.15,-0.052165234797456134,1.5111609975510447,1.145841,-0.548,-0.7227,66.02,-0.2246,0.8487,304.95658419172037,359.31275885066964,105
0.01,10,0.01,-0.1175071815203689,1.4649181595626908,1.011376,-1.2734,-1.8444,82.35,-0.3352,0.7462,360.053547914694,482.49603105891833,106
0.01,10,0.02,-0.08084224039671399,1.61314401028859,1.068983,-0.7955,-1.2005,74.54,-0.2819,0.8245,395.8105061567781,480.0481206501541,107
0.01,10,0.03,-0.04800480432857144,1.7093673980903037,1.068888,-0.4458,-0.7129,70.0,-0.2073,0.8949,425.9482418395167,475.9692479498881,108
0.01,10,0.04,-0.06210487989460756,1.6549053878133293,1.049049,-0.5957,-0.9398,71.93,-0.2407,0.8609,400.5560507233851,465.26933557356625,109
0.01,10,0.05,-0.04295304717789408,1.6209732952321403,1.031911,-0.4206,-0.6608,65.86,-0.1991,0.9015,409.8269326653612,454.5840078247268,110
0.01,10,0.06,-0.05866954444755533,1.58035397987909,1.061717,-0.5893,-0.8772,71.32,-0.2296,0.8676,400.5628784489248,461.6965437632773,111
0.01,10,0.07,-0.03385872663315852,1.6956615849113221,1.095376,-0.317,-0.4907,67.16,-0.1693,0.9245,432.14533879283954,467.42613194459074,112
0.01,10,0.08,-0.02726233090571537,1.741749228624106,1.10632,-0.2485,-0.3912,67.17,-0.1496,0.9409,451.9478214671936,480.35517027094903,113
0.01,10,0.09,-0.02405291715099443,1.7735416564721236,1.117389,-0.2153,-0.3417,67.47,-0.1397,0.9463,441.7035614917751,466.76670116311135,114
0.01,10,0.1,-0.019173362138200624,1.7884232182393691,1.113332,-0.1702,-0.2734,66.18,-0.1262,0.9563,437.374327955796,457.35297130380104,115
0.01,10,0.11,-0.005508464050443402,1.7984384675072507,1.121813,-0.0486,-0.0779,60.32,-0.086,0.987,436.3585584458996,442.0983779864617,116
0.01,10,0.12,0.004459423521623083,1.833844384305969,1.104513,0.0386,0.0641,57.77,-0.0501,1.011,426.5859843618628,421.9392650523316,117
0.01,10,0.13,0.01990208726944308,1.895069068129376,1.112138,0.1667,0.2841,55.8,0.0128,1.0514,424.38924748988757,403.6512725551278,118
0.01,10,0.14,0.02030816365433475,1.7955348575340333,1.156853,0.1795,0.2787,57.59,0.0199,1.0576,388.6135756063226,367.45246907850577,119
0.01,10,0.15,0.03399441120903203,1.9067017219508164,1.160576,0.283,0.465,58.46,0.0724,1.1035,377.696285542691,342.2741090628795,120
0.02,3,0.01,-0.1294003007479849,1.1876271888141916,0.994441,-1.7296,-2.0656,76.92,-0.3788,0.7027,318.6325271180422,453.46764049744246,121
0.02,3,0.02,-0.13561733735007092,1.3268222305837252,1.123168,-1.6226,-1.9168,78.9,-0.3873,0.7195,362.46067736388153,503.7739428826553,122
0.02,3,0.03,-0.15617161659172898,1.4644879097501733,1.229549,-1.6928,-2.0163,83.36,-0.4126,0.7069,392.46195295820365,555.1927774467854,123
0.02,3,0.04,-0.14128998135369658,1.5524621356202866,1.264859,-1.4447,-1.7732,80.92,-0.3968,0.7364,411.21353148443393,558.4376920549857,124
0.02,3,0.05,-0.15164679207292034,1.747696737801642,1.493759,-1.3774,-1.6116,83.59,-0.4123,0.716,398.4759014306942,556.4918587706771,125
0.02,3,0.06,-0.15597132847936626,1.8275476537059263,1.564546,-1.3548,-1.5825,84.48,-0.4194,0.7048,387.96219547414523,550.4843197496449,126
0.02,3,0.07,-0.13508858948492936,2.006968082383898,1.716893,-1.0685,-1.249,81.53,-0.3995,0.7383,397.16556428517254,537.9278745284689,127
0.02,3,0.08,-0.1207209289542715,1.9669185187546738,1.655926,-0.9743,-1.1573,78.92,-0.3788,0.7504,378.1996913158644,503.9908992862154,128
0.02,3,0.09,-0.10260173962758183,2.027153936171916,1.698357,-0.8035,-0.959,75.01,-0.358,0.7806,380.33956799786193,487.25058068980223,129
