rho_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.4,4,0.06,-32.051895438944825,22.210854246610186,17.620644,-1.4431,-1.819,84.59,-0.3456,0.7522,402.35319107683756,534.8852349156491,21
0.4,4,0.07,-32.781638805900236,24.41932269038978,19.299381,-1.3424,-1.6986,85.85,-0.3508,0.7673,447.0440632019257,582.5935379469577,22
0.4,4,0.08,-36.32169892060254,25.770675845187334,20.762688,-1.4094,-1.7494,87.24,-0.3759,0.7541,460.60973080023126,610.7970731624052,23
0.4,4,0.09,-38.260325972024575,27.939306394404944,22.86769,-1.3694,-1.6731,87.7,-0.3934,0.7488,471.653926418383,629.8573377788973,24
0.4,4,0.1,-50.27085011667732,31.682662337885013,26.388731,-1.5867,-1.905,92.33,-0.4617,0.699,482.6824629982449,690.5484384806963,25
0.4,4,0.11,-41.63997723461773,30.837633981288135,25.128735,-1.3503,-1.6571,91.17,-0.4089,0.7378,484.3653290073438,656.5433301123901,26
0.4,4,0.12,-37.96768521594237,32.25098506181015,25.837579,-1.1773,-1.4695,90.16,-0.3905,0.7619,502.40177562250483,659.3951406820761,27
0.4,4,0.13,-37.68439019744077,33.20452909554001,26.844252,-1.1349,-1.4038,89.16,-0.3954,0.7588,490.1967988344257,646.0187614762245,28
0.4,4,0.14,-30.100776475239456,33.701707057909516,26.972015,-0.8932,-1.116,86.73,-0.349,0.7979,491.5395906519668,616.0039124265681,29
0.4,4,0.15,-15.806770559648452,31.17186857697391,24.197695,-0.5071,-0.6532,75.13,-0.2506,0.8777,469.06438915974053,534.4241309182869,30
0.4,5,0.01,-24.330526670662294,11.119775252920007,8.640556,-2.188,-2.8159,68.67,-0.3217,0.6543,190.38747042722835,290.9922672162367,31
0.4,5,0.02,-23.741031493922264,12.122056851260032,9.339572,-1.9585,-2.542,68.2,-0.3185,0.6857,214.1384913473888,312.30577236590864,32
0.4,5,0.03,-23.705319297849577,13.519223025179594,10.44489,-1.7535,-2.2696,68.63,-0.3181,0.7114,241.61318657805455,339.6328005001151,33
0.4,5,0.04,-24.40206813659322,15.39785851053455,12.033755,-1.5848,-2.0278,70.05,-0.3225,0.7306,273.6291971324992,374.5298122052378,34
0.4,5,0.05,-27.742179175662805,17.192444840609078,13.612312,-1.6136,-2.038,74.53,-0.3403,0.7222,298.20623579324825,412.9179449243619,35
0.4,5,0.06,-28.906941622261435,19.049258790077154,14.983469,-1.5175,-1.9293,76.38,-0.3467,0.7373,335.53881525359117,455.0667246599261,36
0.4,5,0.07,-29.79297442226344,20.667872165958016,16.290518,-1.4415,-1.8289,78.2,-0.35,0.7476,364.85972924238877,488.0513139566685,37
0.4,5,0.08,-32.509073339705616,22.52637798658612,17.993947,-1.4432,-1.8067,80.18,-0.3693,0.7463,395.43873579609146,529.8611739705885,38
0.4,5,0.09,-30.795499677132632,24.370515132697125,19.269464,-1.2636,-1.5982,79.36,-0.3619,0.769,423.8202487555592,551.1571958332266,39
0.4,5,0.1,-36.25516738357186,26.03451759866426,20.769936,-1.3926,-1.7456,84.22,-0.3895,0.744,435.66642482564123,585.578664562474,40
0.4,5,0.11,-37.56840018281251,28.021568029260667,22.555679,-1.3407,-1.6656,86.22,-0.3952,0.7488,463.0050912581904,618.347444395058,41
